lr,batch_size,seq_len,epoch,val_rmse,val_mae,val_mape,train_rmse,train_mae,train_mape
0.01,16,3,201,1.895410221375876,1.4046202688791178,0.02245641094972976,1.5383821916623899,1.1623794046756857,0.019380411330684806
0.01,32,3,201,1.7544485833855947,1.291988933095576,0.020710787251639377,1.675569204516456,1.2789967892091396,0.02141010923038566
0.01,64,3,651,1.8751029824500862,1.4905697819213009,0.023940024043802143,1.3321676606930366,0.9582483247462272,0.01596846817688299
0.01,16,6,1,1.86447936727399,1.2830840692811494,0.020490428990385265,1.909939796162391,1.4301846017637907,0.024007774154248394
0.01,32,6,51,1.7748847029845893,1.2654180631075165,0.020224268732827625,1.8027203043057478,1.3415070382781935,0.022486811082386864
0.01,64,6,51,1.8336987267430438,1.33050169390504,0.021266537361546826,1.7478342220136818,1.2851185320540268,0.021521628192670395
0.01,16,9,501,2.2175856159275926,1.7417016701310493,0.02795557845409775,0.1918328054961459,0.14049405196865547,0.002324585490521578
0.01,32,9,51,1.8086801792301495,1.3457484031726938,0.021572681600542955,1.8359042460782447,1.3826755357745872,0.023239430830217837
0.01,64,9,101,1.969719118992332,1.471903941721753,0.023548221751535495,1.6954315657948074,1.2434771970224008,0.020823913566629146
0.01,16,12,51,2.1297263857691093,1.654987909389479,0.02653201342238538,1.3810594050974936,1.0240719168715406,0.01706288904656719
0.01,32,12,1,1.8321917918662303,1.261631559831438,0.020163369420936682,1.9225644074142298,1.4469221721921517,0.02429464637236309
0.01,64,12,851,1.8187048168735844,1.3624476307985498,0.021821292980448465,1.2978071898994175,1.0329356546206763,0.017289894383145044
0.01,16,15,401,2.222215652557468,1.8015785726955826,0.02895662896778672,0.6648868194043248,0.5147290557748229,0.008583536161833733
0.01,32,15,1,1.799504635924986,1.2553564060344862,0.020106777048019477,1.9639963858482707,1.4947884554763335,0.025108923225506664
0.01,64,15,51,1.9377121075570376,1.3811252530420506,0.022001580501148782,1.7100810049839434,1.246179034714917,0.020780407986581283
0.01,16,18,801,2.2710685554889323,1.7819417598728007,0.028554636364975117,0.2242508728926847,0.17575610585302345,0.002903562628471702
0.01,32,18,1,1.8717963630423116,1.2735973327571664,0.0203061235389198,1.87575401086365,1.3893584302428739,0.02328163186441327
0.01,64,18,101,1.8781176497974679,1.4257347724957805,0.022899754608856734,1.8801188766692196,1.4205486926351574,0.023860596568600543
0.01,16,21,51,1.9242207509543154,1.3954674967952936,0.02226309064583031,1.7014265594865008,1.2362621403352099,0.020665174516398495
0.01,32,21,51,2.0207025588480625,1.4369625188082074,0.022859816104726573,1.7138817122233836,1.228641043943694,0.020430860402876137
0.01,64,21,1,1.9204553842124503,1.546236984814261,0.02516184474103357,2.529130907050422,2.0806101389602145,0.03502668709302209
0.01,16,24,51,1.956740360730433,1.3662961670775062,0.021752258253560464,1.7131850073357364,1.2360530219382049,0.020611853122728934
0.01,32,24,1,2.045492926972665,1.4474567197575043,0.023012393176216114,1.76723897930183,1.2723534672425072,0.02115631946036511
0.01,64,24,1,1.7987609123929433,1.3831343724002154,0.02237446567226288,2.2199948459869314,1.7673247389361448,0.029727659482655894
0.001,16,3,1151,1.8861564081525992,1.4985080456659599,0.024053107267389198,1.33223566421934,0.9665010343409653,0.01606623097398761
0.001,32,3,1,1.831928618199407,1.4127822147493345,0.02283362057997751,2.12860143134942,1.6794040257121126,0.02828392556191804
0.001,64,3,601,1.8864137129648904,1.3793963886385057,0.022040193323092733,1.6957192521794477,1.234248177890354,0.020591987179480412
0.001,16,6,51,1.8151642171371616,1.2740101658234604,0.02036944943935064,1.79385553564737,1.3221240991168186,0.022167214851145707
0.001,32,6,201,1.911943615205385,1.375271010070696,0.021927625033789012,1.6969125720501648,1.2284140792862992,0.020491172723093167
0.001,64,6,351,1.8233107161499869,1.3465066278539517,0.021531045032471118,1.730253860488146,1.2686885876917176,0.021233777993911875
0.001,16,9,51,1.7566576148493855,1.2918911961798847,0.02076478359395547,1.921083031082618,1.4484562094713085,0.02435817540662958
0.001,32,9,1,1.8179607571139096,1.3341695018846575,0.021473119533747177,2.0286346528545596,1.5653679910894527,0.026331766587324452
0.001,64,9,1,1.8263867534251503,1.310119503889766,0.021039618238452126,1.9597089131481442,1.4887413033391899,0.025019443483902407
0.001,16,12,51,1.92178992250957,1.3415888996144711,0.021365882964489546,1.7308834086472416,1.25371972273004,0.020908277326966745
0.001,32,12,1,1.8856588273514912,1.2993308368531526,0.02074817778845047,1.8512506010044267,1.36930489537756,0.02294288729405544
0.001,64,12,201,1.793322368951212,1.3226405741013272,0.02114280073785649,1.746854014556773,1.2853854554222062,0.021515392658442517
0.001,16,15,101,1.7756944976094422,1.3103957198345968,0.020917240799348553,1.6325939786579573,1.2144652083662473,0.020227104574785385
0.001,32,15,151,1.7711896757648078,1.325059700906449,0.021159853065470975,1.6522700481831833,1.230737533734974,0.02049207168461624
0.001,64,15,401,1.7676388648304475,1.3335137010821723,0.021357390532789795,1.5874736033038688,1.2157336451197172,0.02031359843310156
0.001,16,18,151,1.9561394195710966,1.4841356215327968,0.023744903359675763,1.6247948135418713,1.234255704291162,0.02060401775219355
0.001,32,18,101,1.87196078488608,1.3055193846832067,0.020816988621043017,1.7477099238061538,1.2716838489345943,0.021231791771086268
0.001,64,18,701,1.759099461587431,1.299285116048059,0.02078698729853753,1.4943603093344422,1.138492996939111,0.019034411303628984
0.001,16,21,51,1.7612339707624083,1.2653977837933799,0.02028748283018122,1.8528337794902936,1.379955369024471,0.02314510107811314
0.001,32,21,1,1.8785950571433578,1.484120703116156,0.024077950080682687,2.2770809876033518,1.8236505368761058,0.030690099064618007
0.001,64,21,301,1.8395045418136333,1.3710825021422413,0.02194044193288249,1.6356332552149686,1.2125430321759518,0.020192096347255408
0.001,16,24,51,1.9257562432165678,1.3327181663766507,0.021215331846323314,1.7294924479286435,1.242317371158764,0.020678013442160484
0.001,32,24,101,1.8309525990583726,1.2807831406358658,0.0204443058262727,1.7485763546682715,1.2660839186728945,0.021139948332177833
0.001,64,24,351,1.912689637840194,1.4453927430186235,0.02312371664604202,1.635353352016005,1.2093259585178895,0.0201410263250584
0.0001,16,3,1051,1.9116057492447116,1.3575807653434995,0.02165770818977775,1.699118699157679,1.2339729699183652,0.02056062008289942
0.0001,32,3,1301,1.9315306298967434,1.371187944603589,0.0218655430400005,1.6973370393348775,1.2311415978683973,0.020494953623387838
0.0001,64,3,1351,1.9359798225175167,1.3726527389624017,0.02189562171765505,1.7012228765331765,1.2395785179730745,0.02064740426587003
0.0001,16,6,751,1.9262140143855,1.3695374533606839,0.021827535969594424,1.7061279639105311,1.2307789088593435,0.02052394289611044
0.0001,32,6,1001,1.949879818986341,1.3831578940386375,0.022036187655280547,1.704605478968657,1.2286214971379201,0.02047169277607209
0.0001,64,6,1451,1.9344291733022185,1.3730949104615495,0.02188262535709125,1.7082958525061473,1.2325588059592119,0.020554677065246132
0.0001,16,9,701,1.8128364837415765,1.3181648767240082,0.021059298871371007,1.6999602094501431,1.2432795202155555,0.020742277512179823
0.0001,32,9,1151,1.8327190882661382,1.3200033342706967,0.02106990641543513,1.69589873228456,1.2404117604619165,0.02066949764107148
0.0001,64,9,1451,1.8617540598536475,1.3067581131493042,0.02082827301246358,1.7098868698964687,1.241737969791991,0.020698249425676572
0.0001,16,12,601,1.9240679245085834,1.3990312950818982,0.02228827348673124,1.6881973175551475,1.2370562697973109,0.020584265640118986
0.0001,32,12,901,1.889266496286311,1.3478877883338194,0.021497307107973346,1.7189239184897718,1.2441037556562147,0.02074582789163751
0.0001,64,12,1351,1.872809111101162,1.3252363921376915,0.02114589162211096,1.7342386228350475,1.2592653402959795,0.021022437635372204
0.0001,16,15,751,1.8345461906674188,1.4042732534034257,0.022436431404767514,1.6199021381287524,1.2218126717083035,0.020316604260428032
0.0001,32,15,1051,1.706442636463033,1.2791381521703937,0.0204687376405765,1.6750033179034205,1.2570936191629194,0.020993729071527564
0.0001,64,15,1051,1.8913906495420294,1.3238424305580736,0.021118110768081965,1.7401678519021258,1.266408609315898,0.02113682230568887
0.0001,16,18,701,1.833111983611791,1.3726966148172532,0.021914525810850675,1.653144070689956,1.2358087617997877,0.020581961892524526
0.0001,32,18,1101,1.807517794534732,1.345435663033266,0.02147557916586979,1.6650909148475872,1.2439391543353953,0.020714980465287903
0.0001,64,18,101,1.9029479355133592,1.3119960187129218,0.020934884988777627,1.8243665755251404,1.341088119027914,0.022422963826207374
0.0001,16,21,551,1.8964781640874988,1.3378943712689988,0.021313036029019107,1.7061382400613132,1.2295675280892517,0.02046605725801767
0.0001,32,21,1051,1.8865522149271117,1.4222661598120012,0.022708839922758666,1.661264626439147,1.2382251825087234,0.020630563576828836
0.0001,64,21,1401,1.9479996526178243,1.377070406153741,0.021934390595580545,1.7200279245875327,1.2369303272365049,0.020582830518612396
0.0001,16,24,751,1.9251516850378276,1.442672502260308,0.023063353742253,1.6377876684192922,1.2124870891204558,0.02019767481425887
0.0001,32,24,1351,1.920610772588697,1.4467130586503403,0.02313618370295048,1.637030379868994,1.212508290191787,0.020200124416096667
0.0001,64,24,1451,1.9558561682751263,1.3821272529663469,0.022010429923294668,1.7189205933967342,1.2276538743798497,0.02042988013811724
